frame_index,plugin_timestamp,producer_timestamp,write_to_buffer_time,read_from_buffer_time,write_to_led_buffer_time,read_from_led_buffer_time,render_time,item_duration
107,2.0666666666666664,7.066666666666668,1753497021.14811,1753497021.212085,1753497021.262812,1753497021.4647012,1753497021.5428789,5.0
108,2.1333333333333333,7.133333333333335,1753497021.1873214,1753497021.2644086,1753497021.315702,1753497021.5430481,1753497021.6014476,5.0
109,2.2,7.200000000000002,1753497021.2337093,1753497021.3170648,1753497021.368673,1753497021.6016138,1753497021.6649814,5.0
110,2.266666666666667,7.266666666666669,1753497021.288299,1753497021.3703268,1753497021.4217787,1753497021.6651406,1753497021.729112,5.0
111,2.333333333333334,7.333333333333336,1753497021.3413172,1753497021.4230733,1753497021.478486,1753497021.7293932,1753497021.8107963,5.0
112,2.400000000000001,7.400000000000002,1753497021.396324,1753497021.479579,1753497021.5321383,1753497021.8109508,1753497021.8680406,5.0
113,2.4666666666666677,7.4666666666666694,1753497021.4481077,1753497021.533857,1753497021.5866506,1753497021.8682055,1753497021.931302,5.0
114,2.5333333333333345,7.533333333333337,1753497021.5062442,1753497021.5880659,1753497021.6392121,1753497021.9315014,1753497021.9961705,5.0
115,2.6000000000000014,7.600000000000003,1753497021.5591023,1753497021.640393,1753497021.691444,1753497021.9963338,1753497022.074635,5.0
116,2.6666666666666683,7.66666666666667,1753497021.6138108,1753497021.6926136,1753497021.7470858,1753497022.0749269,1753497022.1391525,5.0
117,2.733333333333335,7.733333333333337,1753497021.6661353,1753497021.7482114,1753497021.8012617,1753497022.1393156,1753497022.200816,5.0
118,2.800000000000002,7.800000000000004,1753497021.7176094,1753497021.8025608,1753497021.854441,1753497022.2009969,1753497022.2653353,5.0
119,2.866666666666669,7.866666666666671,1753497021.7751894,1753497021.8558438,1753497021.906834,1753497022.2655003,1753497022.332004,5.0
120,2.933333333333336,7.933333333333337,1753497021.829346,1753497021.9080448,1753497021.9590702,1753497022.3321662,1753497022.407719,5.0
121,3.0000000000000027,8.000000000000004,1753497021.880887,1753497021.9602323,1753497022.014618,1753497022.4079058,1753497022.4709792,5.0
